DATE,Gemeinde,YEAR,MONTH,tot_unt_Arbeitslose_Einw,aircraft
1932-02-01,Coswig,1932,2,83.90224596814089,0.0
1933-02-01,Coswig,1933,2,65.6977901652399,0.0
1934-02-01,Coswig,1934,2,0.9,0.0
1935-02-01,Coswig,1935,2,1.6319477776711144,0.0
1936-02-01,Coswig,1936,2,4.595678106971741,0.0
1932-02-01,Cottbus,1932,2,49.29772502472799,0.0
1933-02-01,Cottbus,1933,2,36.86277559590932,0.0
1934-02-01,Cottbus,1934,2,18.197174447174447,0.0
1935-02-01,Cottbus,1935,2,19.194594802103726,0.0
1936-02-01,Cottbus,1936,2,24.60413196239493,0.0
1932-02-01,Crimmitschau,1932,2,69.59855494525749,0.0
1933-02-01,Crimmitschau,1933,2,56.49164764285973,0.0
1934-02-01,Crimmitschau,1934,2,29.087656529516995,0.0
